%Class,%Class,代码，显示NPC的职业名字。
%Name,%Name,《上古卷轴3：晨风》中的代码，通用对话中显示说话的NPC名字。
Adusamsi's Ring,阿杜萨姆西之戒,CLOT.FNAM
Adusamsi's Robe,阿杜萨姆西之长袍,CLOT.FNAM
Advanced Steam Centurion,强力蒸汽百夫长,CREA.FNAM
Adventurer,冒险者,GMST.STRV
Aebondeius,艾邦迪乌斯,NPC_.FNAM
Aebondeius Jucanis,艾邦迪乌斯·朱卡尼斯,NPC_.FNAM
Aedra,艾德拉,Aedroth的复数形式。参与创世的原灵，奥德莫语中意为“我们的祖先”。
Aedra and Daedra,《艾德拉与迪德拉》,BOOK.FNAM
Aedroth,艾德洛斯,艾德洛斯是艾德拉的单数形式。
Aenar,埃纳尔,NPC_.FNAM
Aengoth the Jeweler,珠宝商阿恩戈斯,NPC_.FNAM
Aeonstone,太古石,
Aerin,埃琳,NPC_.FNAM
Aerius,艾瑞斯,NPC_.FNAM
Aesliip,埃斯利普,CEL|ACTI.FNAM|CLOT.FNAM
Aesliip's Barrier,埃斯利普的屏障,ACTI.FNAM
Aesliip's Lair,埃斯利普的巢穴,CEL
Aesliip's Ring,埃斯利普的戒指,CLOT.FNAM
Aeta,艾伊塔,NPC_.FNAM
Aeta Wave-Breaker,艾伊塔·破浪者,NPC_.FNAM
Aetherium,神光水晶,一种淡蓝色发光晶体，被认为来源于光界（Aetherius），难以正常利用。
Aetherius,光界,
Afer,阿弗尔,CEL|NPC_.FNAM
Afer Flaccus,阿弗尔·弗拉库斯,NPC_.FNAM
Afer Flaccus' House,阿弗尔·弗拉库斯的房子,CEL
Affri,艾芙莉,NPC_.FNAM
Afronia,阿芙洛尼亚,NPC_.FNAM
Agaia,畏惧,亚历德语。
Agarond,阿加隆德,NPC_.FNAM
Agea,阿格亚,亚历德语。1.知识|2.传说|3.智慧|4.秘密
Agea Relle,阿格亚·瑞勒,亚历德语，意为“知识溪流”，第二纪元时位于破碎尖塔的一座学校，后被称为心之墓穴。
Agent,密探|特使,FACT.RNAM|CLAS.FNAM|GMST.STRV
Agility,敏捷,GMST.STRV|SPEL.FNAM
Aglaril,阿格拉莉,NPC_.FNAM
Agning,艾格宁,NPC_.FNAM
Agrippina,阿格里皮娜,NPC_.FNAM
Agrippina Herennia,阿格里皮娜·赫伦尼亚,NPC_.FNAM
Agrippina Herennia: Clothier,阿格里皮娜·赫伦尼亚：服饰商,CEL|ACTI.FNAM
Agrob,阿格罗布,NPC_.FNAM
Agrob gra-Bogharz,阿格罗布·格拉-博格哈兹,NPC_.FNAM
Agrudilius,阿格鲁迪留斯,NPC_.FNAM
Ah-Meesei,安-梅塞,NPC_.FNAM
Ahaht,阿哈特,NPC_.FNAM
Ahalkalun,阿哈卡伦,NPC_.FNAM
Ahallaraddon,阿哈拉尔顿,晨风地区一座矿山名字。
Ahallaraddon Egg Mine,阿哈拉登卵矿场,CEL
Ahanabi,阿罕那比,NPC_.FNAM
Ahanabi Assullinbanud,阿罕那比·阿苏林巴德,NPC_.FNAM
Ahanibi-Malmus Egg Mine,阿哈尼比-马尔姆斯卵矿场,CEL
Ahanidiran,阿尼迪兰,NPC_.FNAM
Aharasaplit Camp,阿哈拉萨普利特营地,CEL
Aharnabi,阿哈纳比,CEL
Aharunartus,阿哈鲁纳图斯,CEL
Aharunartus Slave Key,阿哈鲁纳图斯奴隶钥匙,MISC.FNAM
Ahasour,阿哈苏尔,CEL|NPC_.FNAM
Ahasour's Yurt,阿哈苏尔的帐篷,CEL
Ahaz,阿哈兹,NPC_.FNAM
Ahdahni,阿达妮,NPC_.FNAM
Ahdni,阿德妮,NPC_.FNAM
Ahdri,阿德利,NPC_.FNAM
Ahemmusa Camp,阿希穆萨营地,CEL
Ahetotis,阿赫托提斯,NPC_.FNAM
Ahetotis Furotis,阿赫托提斯·福罗提斯,NPC_.FNAM
Ahinipalit,阿希尼帕利特,CEL
Ahjara,阿佳拉,NPC_.FNAM
Ahnarra,阿娜拉,NPC_.FNAM
Ahnassi,阿娜西,CEL|MISC.FNAM|NPC_.FNAM
Ahnassi's House,阿娜西的房子,CEL
Ahnassi's key,阿娜西的钥匙,MISC.FNAM
Ahndahra,阿赫达拉,NPC_.FNAM
Ahnia,阿妮娅,NPC_.FNAM
Ahnisa,阿妮莎,NPC_.FNAM
Ahnurr,阿努尔,卡吉特神话中对应阿努，是众多艾德拉与迪德拉的共祖。
Ahzini,阿兹妮,NPC_.FNAM
Aidanat Camp,艾达纳特营地,CEL
Aina,艾娜,NPC_.FNAM
Ainab,艾纳布,CEL|NPC_.FNAM
Ainab Yassabisun,艾纳布·亚萨比桑,NPC_.FNAM
Ainab's Yurt,艾纳布的帐篷,CEL
Ainat,艾纳特,CEL|NPC_.FNAM
Ainat Maessabibi,艾纳特·梅萨比比,NPC_.FNAM
Airan-Ahhe,艾兰-艾赫,WEAP.FNAM
Airan-Ahhe's Spirit Spear,艾兰-艾赫的灵魂之枪,WEAP.FNAM
Airship Captain,飞艇船长,BOOK.FNAM
Airship Captain's Journal,飞艇船长的日志,BOOK.FNAM
Ajira,阿吉拉,BOOK.FNAM|NPC_.FNAM
Ajira's Flower Report,阿吉拉的鲜花报告,BOOK.FNAM
Ajira's Mushroom Report,阿吉拉的蘑菇报告,BOOK.FNAM
Ajum,阿朱姆,杰尔语。指一种有盖的编织托盘，用于盛放食物。
Aka,龙,艾诺菲语。
Akashicorprus,阿卡什枯萎病,
Akatosh,阿卡托什,CLOT.FNAM
Akatosh's Ring,阿卡托什之戒,CLOT.FNAM
Akavir,阿卡维尔,奥德莫语。意为巨龙之地。赛埃锡的家乡。
Akaviri Danger-sense,阿卡维尔感危之能,SPEL.FNAM
Akel,阿克尔,尤库达神话中萨塔克的胃，类似于帕多梅。
Akha,阿克哈,卡吉特神话中原本的神王，众多神灵和生物之父，阿努尔之子。后续的神话中渐渐淡出。
AKHAT,阿卡特,*详见Akatosh词条。锻莫叙事中的阿卡托什，此情况下该词通常必须大写。
Akimaes Grotto,阿基迈斯石窟,CEL
Akimaes-Ilanipu Egg Mine,阿基迈斯-伊兰尼普卵矿场,CEL
Akin,阿金,CEL|NPC_.FNAM
Akish,阿基什,NPC_.FNAM
Akos Kasaz,阿科斯·卡萨兹,曾经是尤库达大陆的一片草原，如今是尤库达群岛中最大的岛屿。
akula shield,阿库拉护盾,ACTI.FNAM
Akulakhan,阿库拉可汗,CEL|ACTI.FNAM
Akulakhan's Chamber,阿库拉可汗之室,CEL
Al-Esh,奥-艾什,阿莱西亚的通称之一，意为“高而最高”。
Alad,阿拉德,SPEL.FNAM
Alad's Caliginy,阿拉德的朦胧术,SPEL.FNAM
Aladus,阿拉杜斯,CREA.FNAM
Alam,阿拉姆,NPC_.FNAM
Alam Merys,阿拉姆·梅里斯,NPC_.FNAM
Alan,阿兰,NPC_.FNAM
Alanil,阿兰尼尔,NPC_.FNAM
Alanil Llaram,阿兰尼尔·拉拉姆,NPC_.FNAM
Alari,阿拉里,NPC_.FNAM
Alarvyne,阿拉雯,NPC_.FNAM
Alarvyne Indalas,阿拉雯·英达拉斯,NPC_.FNAM
Alas Ancestral Tomb,艾拉斯先祖墓穴,CEL
Alata,光,亚历德语。
Alavesa,阿拉维莎,NPC_.FNAM
Alavesa Samori,阿拉维莎·萨莫里,NPC_.FNAM
Alaxon,阿拉克松,奥瑞埃尔宗教的经典，夏暮岛遵循古老的阿拉克森之道行事。
Albarnian,阿尔巴尼亚,NPC_.FNAM
Albecius,阿尔贝基乌斯,NPC_.FNAM
Albecius Colollius,阿尔贝基乌斯·克罗里乌斯,NPC_.FNAM
Alber,阿尔伯,NPC_.FNAM
Albuttian,阿尔布提安,NPC_.FNAM
Alcaire,阿尔凯尔,
Alcedonia,阿尔西多尼娅,NPC_.FNAM
Alcedonia Amnis,阿尔西多尼娅·阿姆尼斯,NPC_.FNAM
Alchemist,炼金术士,CLAS.FNAM
Alchemy,炼金,GMST.STRV
Ald,奥德,奥德莫语。可能存在ULD的发音。1.老的|2.古代的|3.年长的
Ald Cyrod,奥德·西罗德,西罗帝尔古称。
Ald Daedroth,奥德-迪德洛斯,CEL
Ald Marak,奥德·马拉克,雷曼二世的军团把丹莫赶回了他们的领地深处。最后，丹莫在古老的奥德·马拉克要塞挖壕固守。
Ald Redaynia,奥德-瑞达尼亚,CEL
Ald Skar Inn,奥德·蟹骨旅店,CEL|ACTI.FNAM
Ald Sotha,奥德-索萨,CEL
Ald Velothi,奥德-维洛提,CEL|ACTI.FNAM
Ald'ruhn,奥德'汝因,地名，晨风的定居点。
Ald-ruhn,奥德-汝因,CEL|ACTI.FNAM
Ald-ruhn (back road),奥德-汝因（小径）,ACTI.FNAM
Ald-ruhn (main road),奥德-汝因（主道）,ACTI.FNAM
Ald-ruhn Council Club,奥德-汝因议会所,ACTI.FNAM
Aldam,阿尔达姆,NPC_.FNAM
Aldam Berendus,阿尔达姆·贝伦杜斯,NPC_.FNAM
Aldaril,阿尔达里尔,NPC_.FNAM
Aldi,阿尔迪,CEL|NPC_.FNAM
Aldi's Shack,阿尔迪的小屋,CEL
Aldmer,奥德莫,意为首民、长民、先祖。Aldmeri为所有格（在亚历德语中则代表复数）。Aldmeris可指代奥德莫语，地理概念的“先祖神洲”，奥德莫祖先所居住的大陆，或指傲特莫前身奥德莫的衍生词。
Aldmeri Citadel,奥德莫瑞都堡/先祖都堡,*详见帝都词条。
Aldmeri Dominion,先祖神洲,洲，而非“州”。作为政治实体的“先祖神洲”。
Aldmerisel,奥德莫瑞塞尔,意为“列祖厅”，位于温德尔贝克和玛拉达遗迹内。
Alds,阿德斯,NPC_.FNAM
Alds Baro,阿德斯·巴罗,NPC_.FNAM
Aldyne,阿德妮,NPC_.FNAM
Aldyne Arenim,阿德妮·阿雷尼姆,NPC_.FNAM
Aleft,阿列夫特,CEL
Alembic,蒸馏器,GMST.STRV
Alen,阿伦,NPC_.FNAM
Alen Ancestral Tomb,阿伦先祖墓穴,CEL
Alenus,阿莱娜斯,NPC_.FNAM
Alenus Vendu,阿莱娜斯·文杜,NPC_.FNAM
Aleri,艾蕾莉,NPC_.FNAM|CONT.FNAM
Aleri Aren,艾蕾莉·艾伦,NPC_.FNAM
Aleri Aren's Chest,艾蕾莉·艾伦的箱子,CONT.FNAM
Aleri Duro,艾蕾莉·杜萝,NPC_.FNAM
Ales,阿列斯,NPC_.FNAM
Ales Julalanie,阿列斯·朱拉涅,NPC_.FNAM
Aleshut,阿莱舒特,*详见Alessia词条。
Alessia,阿莱西亚,第一帝国女王阿莱西亚，头衔Al-Esh的变形。
Aleswell,麦酒泉,
Alfbrand,阿尔夫布兰德,NPC_.FNAM
Alfe,奥菲,NPC_.FNAM
Alfe Fyr,奥菲·菲尔,NPC_.FNAM
Alfena,阿尔芬那,NPC_.FNAM
Alfhedil,艾夫迪尔,NPC_.FNAM
Alfhedil Elf-Hewer,艾夫迪尔·精灵杀手,NPC_.FNAM
Alfiq,奥菲克,卡吉特最小的亚种，形似家猫，善用魔法。生于【玛瑟尔】月亏+【塞昆达】满月之时。
Alfiq-raht,奥菲克-拉特,卡吉特的亚种，形似家猫，比阿尔菲克略大。生于【玛瑟尔】残月+【塞昆达】上弦月之时。
Alik'r,阿利克'尔,地名，落锤的沙漠。
Alikr,阿利克尔,地名，落锤的沙漠。
Alinor,阿里诺尔,地名，位于夏暮岛
Alit,鳄蜥,CREA.FNAM
Alit Bite,鳄蜥撕咬,SPEL.FNAM
Alit Hide,鳄蜥皮,INGR.FNAM
Alkhan,奥堪,卡吉特神话中类似奥杜因的存在，阿喀（Akha）的长子。
Alkosh,奥克什,卡吉特神话中的时间龙神，类似于阿卡托什（Akatosh）。接替阿喀（Akha）成为“首猫”（First Cat）。
All Flags Navy,全旗海军,
All-Maker,造物主,斯卡尔人称自己的指引父神为“造物主”，他另一个身份是“世界吞噬者”-奥杜因。
Allding,艾尔丁,NPC_.FNAM
Alleius,阿莱乌斯,MISC.FNAM|NPC_.FNAM
Allian,阿连,NPC_.FNAM
Allian Carbo,阿连·卡波,NPC_.FNAM
Allimir,阿里米尔,NPC_.FNAM
Alma,母亲,艾诺菲语。
